primaryTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
Hello Jindagi	2022	135	Drama	8.4	16
Lunana: A Yak in the Classroom	2019	110	Drama,Family	7.4	5194
Soorarai Pottru	2020	153	Action,Drama	8.7	119293
Whelm	2019	114	Thriller	5.3	123
Desire Game	2019	109	Crime,Mystery,Sci-Fi	3.4	16
Grateful Dead Meet-Up 2019	2019	120	Documentary,Music	8.2	8
Khorfakkan	2020	107	History	6.4	147
The Real Charlie Chaplin	2021	114	Documentary	7.3	1498
Looking Up	2019	147	Drama	6.1	526
Man & Wife	2019	112	Drama,Romance	8.6	17
Handling Method for Grumpy Women	2019	107	Comedy	6.9	8
Olanda	2019	154	Documentary	5.7	91
My Best Summer	2019	109	Drama,Romance	6.0	281
Eugénie Grandet	2021	103	Drama	6.3	283
Rahman 1400	2019	111	Comedy,Drama	4.5	2485
Ramprasad Ki Tehrvi	2019	115	Comedy,Drama	7.5	5804
Reel 2	2020	104	Horror	7.3	54
Shepherd	2021	103	Horror,Mystery	4.9	935
Woman in Car	2021	109	Drama	4.6	133
Atlantics	2019	106	Drama,Mystery,Romance	6.7	9919
Les Misérables	2019	104	Crime,Drama,Thriller	7.6	26329
Beanpole	2019	130	Drama,War	7.2	11685
Summer of Changsha	2019	120	Crime,Drama,Mystery	5.7	300
Liberté	2019	138	Drama,History	4.5	1269
The Boys in the Band	2020	121	Drama	6.8	16700
Pareeksha	2020	120	Drama	8.0	4638
Once Upon a Time in Indonesia	2020	159	Action,Crime,Drama	2.3	28
The Council	2020	114	Crime	5.6	67
State Funeral	2019	135	Documentary,History	7.2	1164
Elfette Saves Christmas	2019	103	Comedy,Family,Fantasy	3.3	147
Adoring	2019	108	Drama,Family,Romance	5.6	207
Shwe Kyar	2018	131	Drama	5.6	31
Three Days and a Life	2019	120	Crime,Drama,Thriller	6.7	1811
Spread Your Wings	2019	113	Adventure,Drama,Family	7.3	2503
Stealing Chaplin	2020	105	Drama	5.4	122
Ichigo no uta	2019	114	Drama,Horror,Romance	6.2	22
Three Nobunagas	2019	106	Comedy,Drama,History	4.5	29
Kiss Me at the Stroke of Midnight	2019	115	Comedy,Romance	5.2	263
Little Love Song	2019	123	Drama,Music,Romance	6.2	174
The Voice of Sin	2020	142	Crime,Drama,Thriller	6.6	595
Kalki	2019	140	Action,Thriller	6.8	626
The Gangster, the Cop, the Devil	2019	109	Action,Crime,Thriller	6.9	17556
Mogra Phulaalaa	2019	136	Romance	6.5	129
Broken Poet	2020	106	Music	6.4	90
Velocity Girl	2023	102	Drama,Romance	8.8	8
Manor House	2020	201	Drama,History	6.5	1296
Anxiety and Depression: Proof of Happiness	2019	107	Drama	6.4	17
Luca	2020	104	Crime,Drama,Thriller	6.9	245
Agent Sai Srinivasa Athreya	2019	148	Comedy,Crime,Mystery	8.3	15008
Billion	2019	101	Comedy,Crime,Thriller	4.3	1517
Longe do Paraíso	2020	103	Drama,Thriller	7.2	14
Vinci Da	2019	117	Crime,Mystery,Thriller	7.3	2428
Aavartan	2021	116	Musical	8.6	5
The Sun Above Me Never Sets	2019	108	Comedy,Drama	7.2	151
Wiren	2018	105	Drama	6.7	51
The Captain	2019	111	Action,Adventure,Drama	6.2	2278
The Bravest	2019	118	Action,Drama	5.7	1031
Edakkad Battalion 06	2019	111	Action,Drama,Romance	4.6	311
Dwelling in the Fuchun Mountains	2019	150	Drama,Romance	7.2	1069
The Last Wish	2019	107	Drama	5.3	149
Ama Romanta: Uma Utopia que Fazia Discos	2019	125	Documentary	8.7	6
Sick, Sick, Sick	2019	104	Drama,Mystery,Romance	4.8	161
Marry Me	2022	112	Comedy,Music,Romance	6.1	35502
You Deserve a Lover	2019	102	Comedy,Drama,Romance	6.1	785
Burning Ghost	2019	104	Drama,Fantasy,Romance	6.0	492
Maledicto	2019	111	Horror	5.7	41
Timelife	2019	113	Biography,Drama,Romance	7.6	10
Super Duper	2019	118	Comedy,Thriller	6.6	222
Ye Kaisa Pal Do Pal Ka Pyar	2016	120	Drama	8.9	9
To Live to Sing	2019	105	Drama	6.4	195
First Love	2019	108	Action,Comedy,Crime	6.7	7506
Tlamess	2019	120	Drama	6.1	193
Blow It to Bits	2019	109	Documentary	6.1	66
Love Me, Love Me Not	2020	124	Drama,Romance	6.4	424
The Entity	2019	114	Horror,Thriller	5.4	242
Paapam Cheyyathavar Kalleriyatte	2020	117	Comedy	5.7	412
The Mindfulness Movement	2020	101	Documentary	7.2	50
Pariban: Idola dari Tanah Jawa	2019	101	Comedy,Drama	7.4	50
Ghost Stories	2020	144	Horror,Thriller	4.4	5562
Serious Men	2020	114	Comedy,Drama	6.8	7867
Mrs. Serial Killer	2020	106	Crime,Drama,Thriller	4.1	18917
Yeh Ballet	2020	117	Drama,Musical	7.5	1424
Beckett	2021	110	Action,Crime,Drama	5.7	27189
Khel Kood Aur Bhoot	2022	120	Adventure,Comedy,Drama	7.6	8
Jesus of Nazareth	2019	120	Drama	8.1	42
Pondicherry	2022	113	Drama	7.3	125
Vadh	2022	110	Crime,Drama,Thriller	7.2	4779
Farewell, My Lad	2020	105	Drama	5.1	23
Faces of Anne	2022	116	Mystery,Thriller	6.0	429
Spring, Again	2019	104	Drama,Fantasy,Romance	5.4	80
Inseparable Bros	2019	114	Comedy,Drama	7.1	781
Deep Evil	2019	107	Horror	5.1	108
The Witness	2019	128	Crime,Thriller	6.3	402
A Cold Hard Truth	2019	105	Drama	7.4	127
2 Weeks in Lagos	2019	107	Romance	6.2	52
Three Legged Horse	2022	123	Drama	8.4	14
The Royal Opera House: Faust	2019	225	Thriller	8.1	13
After Blue	2021	129	Fantasy,Sci-Fi	5.5	744
I'm Your Woman	2020	120	Crime,Drama	6.2	9441
Hullor	2020	128	Comedy	4.4	66
Lillian	2019	130	Adventure,Drama	6.8	877
The Halt	2019	279	Drama,Sci-Fi	6.8	355
Dreamin' Wild	2022	110	Biography,Drama,Music	7.2	87
Women at the Peak	2019	107	Comedy,Romance	4.3	141
Hot Soup	2020	102	Drama	5.3	17
